pid,condition,section,block,trial,start_time,end_time,err_count
P01,CS889LinearMenu,visible,2,15,1543425806102,1543425808139,0
P01,CS889LinearMenu,visible,2,16,1543425808219,1543425809474,0
P01,CS889LinearMenu,visible,2,17,1543425809556,1543425810758,0
P01,CS889LinearMenu,visible,2,18,1543425810839,1543425812053,0
P01,CS889LinearMenu,visible,2,19,1543425812130,1543425813506,0
P01,CS889LinearMenu,visible,2,20,1543425813587,1543425814891,0
P01,CS889LinearMenu,visible,2,21,1543425814968,1543425816080,0
P01,CS889LinearMenu,visible,2,22,1543425816163,1543425817628,0
P01,CS889LinearMenu,visible,2,23,1543425817713,1543425818901,0
P01,CS889LinearMenu,visible,2,24,1543425818982,1543425821601,0
P01,CS889LinearMenu,visible,2,25,1543425821694,1543425823156,0
P01,CS889C3,practice,0,0,1543425901168,1543425916918,0
P01,CS889C3,practice,0,1,1543425923113,1543425924587,0
P01,CS889C3,practice,0,2,1543425925395,1543425927238,0
P01,CS889C3,practice,0,3,1543425927907,1543425930354,0
P01,CS889C3,practice,0,4,1543425931149,1543425939358,0
P01,CS889C3,practice,0,5,1543425940095,1543425941347,0
P01,CS889C3,practice,0,6,1543425943042,1543425946665,0
P01,CS889C3,practice,0,7,1543425947476,1543425948719,0
P01,CS889C3,practice,0,8,1543425949396,1543425950703,0
P01,CS889C3,practice,0,9,1543425951239,1543425953309,0
P01,CS889C3,practice,0,10,1543425953876,1543425956269,0
P01,CS889C3,practice,0,11,1543425956827,1543425958425,0
P01,CS889C3,practice,0,12,1543425959081,1543425963711,0
P01,CS889C3,practice,0,13,1543425964376,1543425968358,0
P01,CS889C3,practice,0,14,1543425969090,1543425970469,0
P01,CS889C3,practice,0,15,1543425971111,1543425973343,0
P01,CS889C3,practice,0,16,1543425974217,1543425975901,0
P01,CS889C3,practice,0,17,1543425976473,1543425978106,0
P01,CS889C3,practice,0,18,1543425978594,1543425981497,0
P01,CS889C3,practice,0,19,1543425982024,1543425984354,0
P01,CS889C3,practice,0,20,1543425989221,1543425990127,0
P01,CS889C3,practice,0,21,1543425991747,1543425992495,0
P01,CS889C3,practice,0,22,1543425993277,1543425994030,0
P01,CS889C3,practice,0,23,1543425994897,1543425995702,0
P01,CS889C3,practice,0,24,1543425996490,1543425997682,0
P01,CS889C3,practice,0,25,1543425998648,1543425999833,0
P01,CS889C3,visible,0,0,1543426006163,1543426007126,0
P01,CS889C3,visible,0,1,1543426007749,1543426008399,0
P01,CS889C3,visible,0,2,1543426009146,1543426009943,0
P01,CS889C3,visible,0,3,1543426010531,1543426011270,0
P01,CS889C3,visible,0,4,1543426012030,1543426013250,0
P01,CS889C3,visible,0,5,1543426014019,1543426014969,0
P01,CS889C3,visible,0,6,1543426015749,1543426016574,0
P01,CS889C3,visible,0,7,1543426017358,1543426018374,0
P01,CS889C3,visible,0,8,1543426018954,1543426020040,0
P01,CS889C3,visible,0,9,1543426020806,1543426021706,0
P01,CS889C3,visible,0,10,1543426022519,1543426023456,0
P01,CS889C3,visible,0,11,1543426023990,1543426025033,0
P01,CS889C3,visible,0,12,1543426025755,1543426026686,0
P01,CS889C3,visible,0,13,1543426027308,1543426029325,0
P01,CS889C3,visible,0,14,1543426030045,1543426030921,0
P01,CS889C3,visible,0,15,1543426031666,1543426032535,0
