ParticipantID,Condition,ConditionName,Section,Block,Trial,Target,TotalTime,TargetObjName
6,CS889C3UnorderedGesture,cube_invariant,practice,0,0,0,18137,TargetLocation_11
6,CS889C3UnorderedGesture,cube_invariant,practice,0,1,0,1323,TargetLocation_4
6,CS889C3UnorderedGesture,cube_invariant,practice,0,2,0,2031,TargetLocation_14
6,CS889C3UnorderedGesture,cube_invariant,practice,0,3,0,4295,TargetLocation_19
6,CS889C3UnorderedGesture,cube_invariant,practice,0,4,0,2131,TargetLocation_5
6,CS889C3UnorderedGesture,cube_invariant,practice,0,5,0,1026,TargetLocation_16
6,CS889C3UnorderedGesture,cube_invariant,practice,0,6,0,1830,TargetLocation_22
6,CS889C3UnorderedGesture,cube_invariant,practice,0,7,0,4426,TargetLocation_6
6,CS889C3UnorderedGesture,cube_invariant,practice,0,8,0,1060,TargetLocation_25
6,CS889C3UnorderedGesture,cube_invariant,practice,0,9,0,1535,TargetLocation_13
6,CS889C3UnorderedGesture,cube_invariant,practice,0,10,0,1463,TargetLocation_24
6,CS889C3UnorderedGesture,cube_invariant,practice,0,11,0,1067,TargetLocation_3
6,CS889C3UnorderedGesture,cube_invariant,practice,0,12,0,1093,TargetLocation_10
6,CS889C3UnorderedGesture,cube_invariant,practice,0,13,0,1373,TargetLocation_0
6,CS889C3UnorderedGesture,cube_invariant,practice,0,14,0,1344,TargetLocation_17
6,CS889C3UnorderedGesture,cube_invariant,practice,0,15,0,1004,TargetLocation_12
6,CS889C3UnorderedGesture,cube_invariant,practice,0,16,0,1179,TargetLocation_8
6,CS889C3UnorderedGesture,cube_invariant,practice,0,17,0,1084,TargetLocation_15
6,CS889C3UnorderedGesture,cube_invariant,practice,0,18,0,2431,TargetLocation_23
6,CS889C3UnorderedGesture,cube_invariant,practice,0,19,0,1192,TargetLocation_2
6,CS889C3UnorderedGesture,cube_invariant,practice,0,20,0,5470,TargetLocation_20
6,CS889C3UnorderedGesture,cube_invariant,practice,0,21,0,1170,TargetLocation_9
6,CS889C3UnorderedGesture,cube_invariant,practice,0,22,0,1609,TargetLocation_1
6,CS889C3UnorderedGesture,cube_invariant,practice,0,23,0,3891,TargetLocation_21
6,CS889C3UnorderedGesture,cube_invariant,practice,0,24,0,1678,TargetLocation_18
6,CS889C3UnorderedGesture,cube_invariant,practice,0,25,0,3176,TargetLocation_7
6,CS889C3UnorderedGesture,cube_invariant,visible,0,0,0,2701,TargetLocation_17
6,CS889C3UnorderedGesture,cube_invariant,visible,0,1,0,2390,TargetLocation_22
6,CS889C3UnorderedGesture,cube_invariant,visible,0,2,0,1218,TargetLocation_3
6,CS889C3UnorderedGesture,cube_invariant,visible,0,3,0,1011,TargetLocation_15
6,CS889C3UnorderedGesture,cube_invariant,visible,0,4,0,2346,TargetLocation_9
6,CS889C3UnorderedGesture,cube_invariant,visible,0,5,0,923,TargetLocation_12
6,CS889C3UnorderedGesture,cube_invariant,visible,0,6,0,2352,TargetLocation_21
6,CS889C3UnorderedGesture,cube_invariant,visible,0,7,0,1189,TargetLocation_7
6,CS889C3UnorderedGesture,cube_invariant,visible,0,8,0,1004,TargetLocation_8
6,CS889C3UnorderedGesture,cube_invariant,visible,0,9,0,1309,TargetLocation_23
6,CS889C3UnorderedGesture,cube_invariant,visible,0,10,0,1216,TargetLocation_19
6,CS889C3UnorderedGesture,cube_invariant,visible,0,11,0,1385,TargetLocation_20
6,CS889C3UnorderedGesture,cube_invariant,visible,0,12,0,1044,TargetLocation_4
6,CS889C3UnorderedGesture,cube_invariant,visible,0,13,0,3498,TargetLocation_6
6,CS889C3UnorderedGesture,cube_invariant,visible,0,14,0,1506,TargetLocation_24
6,CS889C3UnorderedGesture,cube_invariant,visible,0,15,0,1394,TargetLocation_14
6,CS889C3UnorderedGesture,cube_invariant,visible,0,16,0,2809,TargetLocation_2
6,CS889C3UnorderedGesture,cube_invariant,visible,0,17,0,1169,TargetLocation_18
6,CS889C3UnorderedGesture,cube_invariant,visible,0,18,0,5463,TargetLocation_5
6,CS889C3UnorderedGesture,cube_invariant,visible,0,19,0,1051,TargetLocation_25
6,CS889C3UnorderedGesture,cube_invariant,visible,0,20,0,1032,TargetLocation_16
6,CS889C3UnorderedGesture,cube_invariant,visible,0,21,0,1190,TargetLocation_11
6,CS889C3UnorderedGesture,cube_invariant,visible,0,22,0,1664,TargetLocation_13
6,CS889C3UnorderedGesture,cube_invariant,visible,0,23,0,1847,TargetLocation_1
6,CS889C3UnorderedGesture,cube_invariant,visible,0,24,0,1315,TargetLocation_10
6,CS889C3UnorderedGesture,cube_invariant,visible,0,25,0,1818,TargetLocation_0
6,CS889C3UnorderedGesture,cube_invariant,visible,1,0,0,2785,TargetLocation_23
6,CS889C3UnorderedGesture,cube_invariant,visible,1,1,0,1059,TargetLocation_15
6,CS889C3UnorderedGesture,cube_invariant,visible,1,2,0,1061,TargetLocation_25
6,CS889C3UnorderedGesture,cube_invariant,visible,1,3,0,6578,TargetLocation_16
6,CS889C3UnorderedGesture,cube_invariant,visible,1,4,0,17577,TargetLocation_5
6,CS889C3UnorderedGesture,cube_invariant,visible,1,5,0,1595,TargetLocation_17
6,CS889C3UnorderedGesture,cube_invariant,visible,1,6,0,3992,TargetLocation_21
6,CS889C3UnorderedGesture,cube_invariant,visible,1,7,0,3011,TargetLocation_6
6,CS889C3UnorderedGesture,cube_invariant,visible,1,8,0,1464,TargetLocation_0
6,CS889C3UnorderedGesture,cube_invariant,visible,1,9,0,1377,TargetLocation_1
6,CS889C3UnorderedGesture,cube_invariant,visible,1,10,0,1020,TargetLocation_4
6,CS889C3UnorderedGesture,cube_invariant,visible,1,11,0,961,TargetLocation_9
6,CS889C3UnorderedGesture,cube_invariant,visible,1,12,0,1190,TargetLocation_11
6,CS889C3UnorderedGesture,cube_invariant,visible,1,13,0,1480,TargetLocation_13
6,CS889C3UnorderedGesture,cube_invariant,visible,1,14,0,1277,TargetLocation_18
6,CS889C3UnorderedGesture,cube_invariant,visible,1,15,0,1142,TargetLocation_12
6,CS889C3UnorderedGesture,cube_invariant,visible,1,16,0,1207,TargetLocation_24
