ParticipantID,Condition,ConditionName,Section,Block,Trial,Target,TotalTime,TargetObjName
1,CS889LinearMenu,raycast,practice,0,0,0,40246,TargetLocation_14
1,CS889LinearMenu,raycast,practice,0,1,0,4075,TargetLocation_11
1,CS889LinearMenu,raycast,practice,0,2,0,1649,TargetLocation_23
1,CS889LinearMenu,raycast,practice,0,3,0,2457,TargetLocation_5
1,CS889LinearMenu,raycast,practice,0,4,0,1872,TargetLocation_21
1,CS889LinearMenu,raycast,practice,0,5,0,1366,TargetLocation_0
1,CS889LinearMenu,raycast,practice,0,6,0,2479,TargetLocation_16
1,CS889LinearMenu,raycast,practice,0,7,0,1607,TargetLocation_18
1,CS889LinearMenu,raycast,practice,0,8,0,1515,TargetLocation_22
1,CS889LinearMenu,raycast,practice,0,9,0,2018,TargetLocation_8
1,CS889LinearMenu,raycast,practice,0,10,0,1489,TargetLocation_13
1,CS889LinearMenu,raycast,practice,0,11,0,1185,TargetLocation_24
1,CS889LinearMenu,raycast,practice,0,12,0,1274,TargetLocation_7
1,CS889LinearMenu,raycast,practice,0,13,0,1647,TargetLocation_15
1,CS889LinearMenu,raycast,practice,0,14,0,1688,TargetLocation_17
1,CS889LinearMenu,raycast,practice,0,15,0,1462,TargetLocation_19
1,CS889LinearMenu,raycast,practice,0,16,0,1238,TargetLocation_20
1,CS889LinearMenu,raycast,practice,0,17,0,2451,TargetLocation_4
1,CS889LinearMenu,raycast,practice,0,18,0,6092,TargetLocation_25
1,CS889LinearMenu,raycast,practice,0,19,0,2295,TargetLocation_9
1,CS889LinearMenu,raycast,practice,0,20,0,1108,TargetLocation_2
1,CS889LinearMenu,raycast,practice,0,21,0,1744,TargetLocation_12
1,CS889LinearMenu,raycast,practice,0,22,0,1583,TargetLocation_10
1,CS889LinearMenu,raycast,practice,0,23,0,1776,TargetLocation_1
1,CS889LinearMenu,raycast,practice,0,24,0,1827,TargetLocation_6
1,CS889LinearMenu,raycast,practice,0,25,0,2273,TargetLocation_3
1,CS889LinearMenu,raycast,visible,0,0,0,2146,TargetLocation_2
1,CS889LinearMenu,raycast,visible,0,1,0,1349,TargetLocation_22
1,CS889LinearMenu,raycast,visible,0,2,0,1571,TargetLocation_15
1,CS889LinearMenu,raycast,visible,0,3,0,1286,TargetLocation_11
1,CS889LinearMenu,raycast,visible,0,4,0,1315,TargetLocation_18
1,CS889LinearMenu,raycast,visible,0,5,0,2195,TargetLocation_6
1,CS889LinearMenu,raycast,visible,0,6,0,1467,TargetLocation_14
1,CS889LinearMenu,raycast,visible,0,7,0,1179,TargetLocation_0
1,CS889LinearMenu,raycast,visible,0,8,0,1088,TargetLocation_13
1,CS889LinearMenu,raycast,visible,0,9,0,1102,TargetLocation_23
1,CS889LinearMenu,raycast,visible,0,10,0,1118,TargetLocation_10
1,CS889LinearMenu,raycast,visible,0,11,0,1022,TargetLocation_20
1,CS889LinearMenu,raycast,visible,0,12,0,1127,TargetLocation_21
1,CS889LinearMenu,raycast,visible,0,13,0,1369,TargetLocation_12
1,CS889LinearMenu,raycast,visible,0,14,0,1230,TargetLocation_24
1,CS889LinearMenu,raycast,visible,0,15,0,1148,TargetLocation_19
1,CS889LinearMenu,raycast,visible,0,16,0,1012,TargetLocation_1
1,CS889LinearMenu,raycast,visible,0,17,0,1024,TargetLocation_5
1,CS889LinearMenu,raycast,visible,0,18,0,1328,TargetLocation_9
1,CS889LinearMenu,raycast,visible,0,19,0,1899,TargetLocation_16
1,CS889LinearMenu,raycast,visible,0,20,0,956,TargetLocation_7
1,CS889LinearMenu,raycast,visible,0,21,0,872,TargetLocation_8
1,CS889LinearMenu,raycast,visible,0,22,0,1245,TargetLocation_17
1,CS889LinearMenu,raycast,visible,0,23,0,1187,TargetLocation_25
1,CS889LinearMenu,raycast,visible,0,24,0,1063,TargetLocation_4
1,CS889LinearMenu,raycast,visible,0,25,0,1056,TargetLocation_3
1,CS889LinearMenu,raycast,visible,1,0,0,1425,TargetLocation_21
1,CS889LinearMenu,raycast,visible,1,1,0,1071,TargetLocation_0
1,CS889LinearMenu,raycast,visible,1,2,0,1057,TargetLocation_9
1,CS889LinearMenu,raycast,visible,1,3,0,1620,TargetLocation_16
1,CS889LinearMenu,raycast,visible,1,4,0,1377,TargetLocation_13
1,CS889LinearMenu,raycast,visible,1,5,0,1592,TargetLocation_6
1,CS889LinearMenu,raycast,visible,1,6,0,1252,TargetLocation_19
1,CS889LinearMenu,raycast,visible,1,7,0,1777,TargetLocation_1
1,CS889LinearMenu,raycast,visible,1,8,0,1096,TargetLocation_2
1,CS889LinearMenu,raycast,visible,1,9,0,1476,TargetLocation_25
1,CS889LinearMenu,raycast,visible,1,10,0,1379,TargetLocation_20
1,CS889LinearMenu,raycast,visible,1,11,0,831,TargetLocation_23
1,CS889LinearMenu,raycast,visible,1,12,0,1248,TargetLocation_4
1,CS889LinearMenu,raycast,visible,1,13,0,1030,TargetLocation_15
1,CS889LinearMenu,raycast,visible,1,14,0,1099,TargetLocation_11
1,CS889LinearMenu,raycast,visible,1,15,0,1037,TargetLocation_24
1,CS889LinearMenu,raycast,visible,1,16,0,1134,TargetLocation_18
1,CS889LinearMenu,raycast,visible,1,17,0,1118,TargetLocation_14
1,CS889LinearMenu,raycast,visible,1,18,0,1364,TargetLocation_8
1,CS889LinearMenu,raycast,visible,1,19,0,892,TargetLocation_5
1,CS889LinearMenu,raycast,visible,1,20,0,1137,TargetLocation_10
1,CS889LinearMenu,raycast,visible,1,21,0,1305,TargetLocation_22
1,CS889LinearMenu,raycast,visible,1,22,0,1023,TargetLocation_12
1,CS889LinearMenu,raycast,visible,1,23,0,1108,TargetLocation_3
1,CS889LinearMenu,raycast,visible,1,24,0,1533,TargetLocation_17
1,CS889LinearMenu,raycast,visible,1,25,0,1039,TargetLocation_7
1,CS889LinearMenu,raycast,visible,2,0,0,1169,TargetLocation_15
1,CS889LinearMenu,raycast,visible,2,1,0,1073,TargetLocation_8
1,CS889LinearMenu,raycast,visible,2,2,0,1218,TargetLocation_16
1,CS889LinearMenu,raycast,visible,2,3,0,922,TargetLocation_24
1,CS889LinearMenu,raycast,visible,2,4,0,999,TargetLocation_22
1,CS889LinearMenu,raycast,visible,2,5,0,1069,TargetLocation_12
1,CS889LinearMenu,raycast,visible,2,6,0,1096,TargetLocation_6
1,CS889LinearMenu,raycast,visible,2,7,0,1034,TargetLocation_4
1,CS889LinearMenu,raycast,visible,2,8,0,1074,TargetLocation_23
1,CS889LinearMenu,raycast,visible,2,9,0,972,TargetLocation_3
1,CS889LinearMenu,raycast,visible,2,10,0,1348,TargetLocation_9
1,CS889LinearMenu,raycast,visible,2,11,0,973,TargetLocation_11
1,CS889LinearMenu,raycast,visible,2,12,0,905,TargetLocation_17
1,CS889LinearMenu,raycast,visible,2,13,0,1130,TargetLocation_5
1,CS889LinearMenu,raycast,visible,2,14,0,1203,TargetLocation_20
1,CS889LinearMenu,raycast,visible,2,15,0,1050,TargetLocation_10
1,CS889LinearMenu,raycast,visible,2,16,0,824,TargetLocation_7
1,CS889LinearMenu,raycast,visible,2,17,0,1174,TargetLocation_19
1,CS889LinearMenu,raycast,visible,2,18,0,957,TargetLocation_25
1,CS889LinearMenu,raycast,visible,2,19,0,1142,TargetLocation_14
1,CS889LinearMenu,raycast,visible,2,20,0,985,TargetLocation_13
1,CS889LinearMenu,raycast,visible,2,21,0,1812,TargetLocation_21
1,CS889LinearMenu,raycast,visible,2,22,0,1038,TargetLocation_1
1,CS889LinearMenu,raycast,visible,2,23,0,970,TargetLocation_2
1,CS889LinearMenu,raycast,visible,2,24,0,1356,TargetLocation_18
1,CS889LinearMenu,raycast,visible,2,25,0,1498,TargetLocation_0
1,CS889LinearMenu,raycast,visible,3,0,0,1548,TargetLocation_16
1,CS889LinearMenu,raycast,visible,3,1,0,1208,TargetLocation_11
1,CS889LinearMenu,raycast,visible,3,2,0,1112,TargetLocation_5
1,CS889LinearMenu,raycast,visible,3,3,0,1111,TargetLocation_10
1,CS889LinearMenu,raycast,visible,3,4,0,1049,TargetLocation_21
1,CS889LinearMenu,raycast,visible,3,5,0,1419,TargetLocation_2
1,CS889LinearMenu,raycast,visible,3,6,0,1504,TargetLocation_6
1,CS889LinearMenu,raycast,visible,3,7,0,1332,TargetLocation_14
1,CS889LinearMenu,raycast,visible,3,8,0,1053,TargetLocation_18
1,CS889LinearMenu,raycast,visible,3,9,0,965,TargetLocation_15
1,CS889LinearMenu,raycast,visible,3,10,0,1221,TargetLocation_1
1,CS889LinearMenu,raycast,visible,3,11,0,1288,TargetLocation_8
1,CS889LinearMenu,raycast,visible,3,12,0,1113,TargetLocation_24
1,CS889LinearMenu,raycast,visible,3,13,0,1379,TargetLocation_7
1,CS889LinearMenu,raycast,visible,3,14,0,1237,TargetLocation_25
1,CS889LinearMenu,raycast,visible,3,15,0,1038,TargetLocation_4
1,CS889LinearMenu,raycast,visible,3,16,0,1584,TargetLocation_20
1,CS889LinearMenu,raycast,visible,3,17,0,1111,TargetLocation_17
1,CS889LinearMenu,raycast,visible,3,18,0,1549,TargetLocation_3
1,CS889LinearMenu,raycast,visible,3,19,0,1495,TargetLocation_23
1,CS889LinearMenu,raycast,visible,3,20,0,1352,TargetLocation_0
1,CS889LinearMenu,raycast,visible,3,21,0,1258,TargetLocation_12
1,CS889LinearMenu,raycast,visible,3,22,0,1202,TargetLocation_13
1,CS889LinearMenu,raycast,visible,3,23,0,1146,TargetLocation_22
1,CS889LinearMenu,raycast,visible,3,24,0,1214,TargetLocation_9
1,CS889LinearMenu,raycast,visible,3,25,0,1281,TargetLocation_19
1,CS889LinearMenu,raycast,visible,4,0,0,912,TargetLocation_23
1,CS889LinearMenu,raycast,visible,4,1,0,1058,TargetLocation_14
1,CS889LinearMenu,raycast,visible,4,2,0,1212,TargetLocation_20
1,CS889LinearMenu,raycast,visible,4,3,0,1297,TargetLocation_13
1,CS889LinearMenu,raycast,visible,4,4,0,1165,TargetLocation_6
1,CS889LinearMenu,raycast,visible,4,5,0,1094,TargetLocation_11
1,CS889LinearMenu,raycast,visible,4,6,0,1201,TargetLocation_9
1,CS889LinearMenu,raycast,visible,4,7,0,1053,TargetLocation_25
1,CS889LinearMenu,raycast,visible,4,8,0,1346,TargetLocation_3
1,CS889LinearMenu,raycast,visible,4,9,0,866,TargetLocation_1
1,CS889LinearMenu,raycast,visible,4,10,0,1397,TargetLocation_12
1,CS889LinearMenu,raycast,visible,4,11,0,1189,TargetLocation_17
1,CS889LinearMenu,raycast,visible,4,12,0,920,TargetLocation_24
1,CS889LinearMenu,raycast,visible,4,13,0,1086,TargetLocation_16
1,CS889LinearMenu,raycast,visible,4,14,0,849,TargetLocation_22
1,CS889LinearMenu,raycast,visible,4,15,0,1075,TargetLocation_15
1,CS889LinearMenu,raycast,visible,4,16,0,814,TargetLocation_19
1,CS889LinearMenu,raycast,visible,4,17,0,968,TargetLocation_7
1,CS889LinearMenu,raycast,visible,4,18,0,971,TargetLocation_0
1,CS889LinearMenu,raycast,visible,4,19,0,1161,TargetLocation_4
1,CS889LinearMenu,raycast,visible,4,20,0,903,TargetLocation_5
1,CS889LinearMenu,raycast,visible,4,21,0,1312,TargetLocation_18
1,CS889LinearMenu,raycast,visible,4,22,0,1013,TargetLocation_10
1,CS889LinearMenu,raycast,visible,4,23,0,906,TargetLocation_8
1,CS889LinearMenu,raycast,visible,4,24,0,958,TargetLocation_2
1,CS889LinearMenu,raycast,visible,4,25,0,1100,TargetLocation_21
1,CS889C3,cube_abs,practice,0,0,0,24408,TargetLocation_14
1,CS889C3,cube_abs,practice,0,1,0,27148,TargetLocation_11
1,CS889C3,cube_abs,practice,0,2,0,2718,TargetLocation_23
1,CS889C3,cube_abs,practice,0,3,0,10192,TargetLocation_5
1,CS889C3,cube_abs,practice,0,4,0,1886,TargetLocation_21
1,CS889C3,cube_abs,practice,0,5,0,4383,TargetLocation_0
1,CS889C3,cube_abs,practice,0,6,0,1632,TargetLocation_16
1,CS889C3,cube_abs,practice,0,7,0,2997,TargetLocation_18
1,CS889C3,cube_abs,practice,0,8,0,4988,TargetLocation_22
1,CS889C3,cube_abs,practice,0,9,0,4535,TargetLocation_8
1,CS889C3,cube_abs,practice,0,10,0,1366,TargetLocation_13
1,CS889C3,cube_abs,practice,0,11,0,1369,TargetLocation_24
1,CS889C3,cube_abs,practice,0,12,0,3071,TargetLocation_7
1,CS889C3,cube_abs,practice,0,13,0,1304,TargetLocation_15
1,CS889C3,cube_abs,practice,0,14,0,6047,TargetLocation_17
1,CS889C3,cube_abs,practice,0,15,0,4578,TargetLocation_19
1,CS889C3,cube_abs,practice,0,16,0,1168,TargetLocation_20
1,CS889C3,cube_abs,practice,0,17,0,1586,TargetLocation_4
1,CS889C3,cube_abs,practice,0,18,0,1731,TargetLocation_25
1,CS889C3,cube_abs,practice,0,19,0,3378,TargetLocation_9
1,CS889C3,cube_abs,practice,0,20,0,3747,TargetLocation_2
1,CS889C3,cube_abs,practice,0,21,0,1520,TargetLocation_12
1,CS889C3,cube_abs,practice,0,22,0,2527,TargetLocation_10
1,CS889C3,cube_abs,practice,0,23,0,4572,TargetLocation_1
1,CS889C3,cube_abs,practice,0,24,0,1968,TargetLocation_6
1,CS889C3,cube_abs,practice,0,25,0,3047,TargetLocation_3
1,CS889C3,cube_abs,visible,0,0,0,4183,TargetLocation_2
1,CS889C3,cube_abs,visible,0,1,0,3056,TargetLocation_22
1,CS889C3,cube_abs,visible,0,2,0,2352,TargetLocation_15
1,CS889C3,cube_abs,visible,0,3,0,1553,TargetLocation_11
1,CS889C3,cube_abs,visible,0,4,0,1779,TargetLocation_18
1,CS889C3,cube_abs,visible,0,5,0,1679,TargetLocation_6
1,CS889C3,cube_abs,visible,0,6,0,3057,TargetLocation_14
1,CS889C3,cube_abs,visible,0,7,0,3981,TargetLocation_0
1,CS889C3,cube_abs,visible,0,8,0,1889,TargetLocation_13
1,CS889C3,cube_abs,visible,0,9,0,3235,TargetLocation_23
1,CS889C3,cube_abs,visible,0,10,0,3052,TargetLocation_10
1,CS889C3,cube_abs,visible,0,11,0,1654,TargetLocation_20
1,CS889C3,cube_abs,visible,0,12,0,2998,TargetLocation_21
1,CS889C3,cube_abs,visible,0,13,0,4536,TargetLocation_12
1,CS889C3,cube_abs,visible,0,14,0,2331,TargetLocation_24
1,CS889C3,cube_abs,visible,0,15,0,2328,TargetLocation_19
1,CS889C3,cube_abs,visible,0,16,0,5513,TargetLocation_1
1,CS889C3,cube_abs,visible,0,17,0,3972,TargetLocation_5
1,CS889C3,cube_abs,visible,0,18,0,1855,TargetLocation_9
1,CS889C3,cube_abs,visible,0,19,0,1797,TargetLocation_16
1,CS889C3,cube_abs,visible,0,20,0,5334,TargetLocation_7
1,CS889C3,cube_abs,visible,0,21,0,4426,TargetLocation_8
1,CS889C3,cube_abs,visible,0,22,0,2016,TargetLocation_17
1,CS889C3,cube_abs,visible,0,23,0,5234,TargetLocation_25
1,CS889C3,cube_abs,visible,0,24,0,2238,TargetLocation_4
1,CS889C3,cube_abs,visible,0,25,0,1516,TargetLocation_3
1,CS889C3,cube_abs,visible,1,0,0,2785,TargetLocation_23
1,CS889C3,cube_abs,visible,1,1,0,1322,TargetLocation_18
1,CS889C3,cube_abs,visible,1,2,0,2963,TargetLocation_0
1,CS889C3,cube_abs,visible,1,3,0,1254,TargetLocation_20
1,CS889C3,cube_abs,visible,1,4,0,1481,TargetLocation_4
1,CS889C3,cube_abs,visible,1,5,0,1539,TargetLocation_25
1,CS889C3,cube_abs,visible,1,6,0,4847,TargetLocation_19
1,CS889C3,cube_abs,visible,1,7,0,2135,TargetLocation_13
1,CS889C3,cube_abs,visible,1,8,0,2019,TargetLocation_22
1,CS889C3,cube_abs,visible,1,9,0,2259,TargetLocation_2
1,CS889C3,cube_abs,visible,1,10,0,3552,TargetLocation_6
1,CS889C3,cube_abs,visible,1,11,0,3657,TargetLocation_10
1,CS889C3,cube_abs,visible,1,12,0,2185,TargetLocation_24
1,CS889C3,cube_abs,visible,1,13,0,4302,TargetLocation_8
1,CS889C3,cube_abs,visible,1,14,0,1505,TargetLocation_7
1,CS889C3,cube_abs,visible,1,15,0,1713,TargetLocation_17
1,CS889C3,cube_abs,visible,1,16,0,1556,TargetLocation_15
1,CS889C3,cube_abs,visible,1,17,0,1275,TargetLocation_12
1,CS889C3,cube_abs,visible,1,18,0,2602,TargetLocation_14
1,CS889C3,cube_abs,visible,1,19,0,1478,TargetLocation_3
1,CS889C3,cube_abs,visible,1,20,0,1724,TargetLocation_21
1,CS889C3,cube_abs,visible,1,21,0,2829,TargetLocation_11
1,CS889C3,cube_abs,visible,1,22,0,5414,TargetLocation_16
1,CS889C3,cube_abs,visible,1,23,0,2101,TargetLocation_1
1,CS889C3,cube_abs,visible,1,24,0,1690,TargetLocation_9
1,CS889C3,cube_abs,visible,1,25,0,3667,TargetLocation_5
1,CS889C3,cube_abs,visible,2,0,0,2904,TargetLocation_14
1,CS889C3,cube_abs,visible,2,1,0,1335,TargetLocation_12
1,CS889C3,cube_abs,visible,2,2,0,2634,TargetLocation_6
1,CS889C3,cube_abs,visible,2,3,0,1319,TargetLocation_24
1,CS889C3,cube_abs,visible,2,4,0,2844,TargetLocation_9
1,CS889C3,cube_abs,visible,2,5,0,3537,TargetLocation_7
1,CS889C3,cube_abs,visible,2,6,0,1599,TargetLocation_16
1,CS889C3,cube_abs,visible,2,7,0,1634,TargetLocation_1
1,CS889C3,cube_abs,visible,2,8,0,1607,TargetLocation_4
